voting_country,country,juror_0,juror_1,juror_2,juror_3,juror_4,jury_ranking,televote_ranking
israel,Albania,13,24,23,21,17,21,23
israel,Azerbaijan,4,16,14,7,15,9,9
israel,Belgium,7,4,12,6,2,5,20
israel,Bulgaria,15,5,16,20,6,10,17
israel,Cyprus,8,6,11,8,9,8,12
israel,Finland,12,11,10,14,8,12,7
israel,France,3,7,2,2,5,3,3
israel,Germany,24,22,24,22,23,24,14
israel,Greece,20,10,17,23,18,17,15
israel,Iceland,10,12,7,13,12,11,10
israel,Italy,17,18,8,11,19,15,4
israel,Lithuania,6,2,3,1,3,2,8
israel,Malta,9,3,4,5,11,6,6
israel,Moldova,11,21,18,9,10,14,21
israel,Norway,21,17,15,15,14,19,11
israel,Portugal,22,9,20,12,16,16,19
israel,Russia,5,8,6,3,4,4,2
israel,San Marino,16,15,19,18,24,20,16
israel,Serbia,19,20,22,19,20,22,18
israel,Spain,23,19,21,24,21,23,24
israel,Sweden,14,23,9,16,7,13,13
israel,Switzerland,1,1,1,4,1,1,5
israel,The Netherlands,18,13,13,17,22,18,22
israel,Ukraine,2,14,5,10,13,7,1
israel,United Kingdom,25,25,25,25,25,25,25
albania,Azerbaijan,14,6,23,5,8,9,14
albania,Belgium,23,22,19,25,21,25,25
albania,Bulgaria,22,25,8,21,24,17,6
albania,Cyprus,3,5,4,8,6,4,9
albania,Finland,6,9,7,12,10,8,8
albania,France,2,1,3,2,2,2,5
albania,Germany,18,15,12,10,22,13,15
albania,Greece,4,10,5,4,9,5,3
albania,Iceland,8,13,10,11,11,11,21
albania,Israel,13,7,9,16,12,12,22
albania,Italy,16,4,21,7,3,7,2
albania,Lithuania,9,18,15,22,20,16,13
albania,Malta,7,3,2,3,4,3,12
albania,Moldova,25,24,11,20,23,20,4
albania,Norway,19,20,13,23,25,23,19
albania,Portugal,21,12,20,15,17,18,23
albania,Russia,15,14,18,13,13,14,17
albania,San Marino,5,8,6,9,5,6,11
albania,Serbia,11,11,17,6,7,10,16
albania,Spain,12,21,16,18,19,19,18
albania,Sweden,10,19,14,19,16,15,10
albania,Switzerland,1,2,1,1,1,1,1
albania,The Netherlands,17,23,24,14,18,22,24
albania,Ukraine,20,16,25,17,15,21,7
albania,United Kingdom,24,17,22,24,14,24,20
australia,Albania,25,23,22,24,24,26,24
australia,Azerbaijan,20,13,19,17,21,21,17
australia,Belgium,23,22,21,26,25,25,23
australia,Bulgaria,6,11,9,7,17,9,16
australia,Cyprus,5,5,7,9,13,7,14
australia,Finland,16,25,23,8,15,18,8
australia,France,15,3,2,1,5,4,7
australia,Germany,26,26,26,10,26,22,19
australia,Greece,13,9,17,18,11,13,11
australia,Iceland,2,7,1,6,3,3,1
australia,Israel,12,14,14,25,9,14,15
australia,Italy,7,24,4,3,4,5,4
australia,Lithuania,17,12,10,20,8,11,5
australia,Malta,1,2,3,4,1,1,3
australia,Moldova,22,20,25,15,22,24,25
australia,Norway,18,17,18,16,20,23,10
australia,Portugal,10,15,15,23,10,15,18
australia,Russia,9,10,13,14,16,10,12
australia,San Marino,19,19,12,11,14,17,13
australia,Serbia,24,6,20,12,23,12,9
australia,Spain,21,8,16,21,19,19,26
australia,Sweden,14,18,11,19,12,16,20
australia,Switzerland,4,1,8,2,2,2,6
australia,The Netherlands,3,16,6,13,7,8,22
australia,Ukraine,11,4,5,5,6,6,2
australia,United Kingdom,8,21,24,22,18,20,21
austria,Albania,22,24,25,19,18,26,13
austria,Azerbaijan,19,19,24,20,22,25,17
austria,Belgium,20,17,16,10,14,17,21
austria,Bulgaria,2,3,9,7,9,6,11
austria,Cyprus,15,25,13,9,21,16,20
austria,Finland,9,10,7,15,8,10,7
austria,France,7,1,5,6,2,3,5
austria,Germany,5,9,18,26,7,9,15
austria,Greece,12,21,12,13,25,18,19
austria,Iceland,1,5,1,8,3,1,2
austria,Israel,16,12,14,17,20,19,18
austria,Italy,11,7,3,2,1,5,3
austria,Lithuania,21,13,11,14,15,15,8
austria,Malta,3,6,8,22,11,7,9
austria,Moldova,23,22,22,11,26,21,24
austria,Norway,26,18,6,16,24,13,10
austria,Portugal,6,4,4,1,5,4,14
austria,Russia,17,20,23,3,12,11,12
austria,San Marino,13,26,17,24,23,22,22
austria,Serbia,18,11,19,18,10,14,1
austria,Spain,8,23,15,12,13,12,25
austria,Sweden,24,16,20,23,17,24,16
austria,Switzerland,4,2,2,4,4,2,6
austria,The Netherlands,10,8,10,5,6,8,23
austria,Ukraine,25,14,21,25,16,23,4
austria,United Kingdom,14,15,26,21,19,20,26
azerbaijan,Albania,20,10,19,25,18,20,21
azerbaijan,Belgium,16,15,7,19,2,8,17
azerbaijan,Bulgaria,7,12,13,6,10,10,20
azerbaijan,Cyprus,10,16,23,21,19,19,15
azerbaijan,Finland,13,14,5,9,11,13,6
azerbaijan,France,9,13,16,4,4,7,9
azerbaijan,Germany,22,24,21,24,21,23,19
azerbaijan,Greece,6,6,2,1,8,2,11
azerbaijan,Iceland,19,8,18,16,17,17,16
azerbaijan,Israel,11,17,15,12,14,16,1
azerbaijan,Italy,14,19,6,14,6,14,2
azerbaijan,Lithuania,21,23,20,13,22,22,14
azerbaijan,Malta,5,7,12,2,1,4,12
azerbaijan,Moldova,2,4,4,5,7,3,10
azerbaijan,Norway,18,9,8,18,16,15,4
azerbaijan,Portugal,12,3,14,8,12,9,25
azerbaijan,Russia,1,1,3,3,3,1,5
azerbaijan,San Marino,8,11,11,7,9,11,8
azerbaijan,Serbia,24,18,10,11,24,18,18
azerbaijan,Spain,17,21,25,20,13,21,24
azerbaijan,Sweden,4,20,1,15,20,6,13
azerbaijan,Switzerland,15,2,17,17,15,12,7
azerbaijan,The Netherlands,25,25,22,23,23,25,23
azerbaijan,Ukraine,3,5,9,10,5,5,3
azerbaijan,United Kingdom,23,22,24,22,25,24,22
belgium,Albania,18,21,23,20,22,20,15
belgium,Azerbaijan,22,23,20,25,19,23,13
belgium,Bulgaria,7,11,4,4,4,5,14
belgium,Cyprus,14,19,18,11,12,17,17
belgium,Finland,6,4,5,1,2,3,5
belgium,France,15,9,12,17,15,15,1
belgium,Germany,23,24,24,23,25,24,20
belgium,Greece,20,16,15,15,17,18,12
belgium,Iceland,4,7,11,5,11,8,6
belgium,Israel,10,17,10,18,16,16,19
belgium,Italy,17,15,16,6,7,9,3
belgium,Lithuania,9,14,14,14,10,13,4
belgium,Malta,5,5,3,12,14,6,9
belgium,Moldova,25,25,25,24,24,25,24
belgium,Norway,16,13,13,9,13,14,10
belgium,Portugal,12,12,9,13,8,10,11
belgium,Russia,3,3,2,7,3,4,16
belgium,San Marino,19,22,22,19,23,22,23
belgium,Serbia,24,18,19,22,21,19,22
belgium,Spain,13,8,17,16,9,12,21
belgium,Sweden,8,6,7,8,5,7,8
belgium,Switzerland,2,1,1,3,1,1,7
belgium,The Netherlands,11,10,8,10,18,11,18
belgium,Ukraine,1,2,6,2,6,2,2
belgium,United Kingdom,21,20,21,21,20,21,25
bulgaria,Albania,23,21,15,14,25,23,19
bulgaria,Azerbaijan,20,25,22,23,18,25,7
bulgaria,Belgium,3,20,20,24,23,12,21
bulgaria,Cyprus,12,22,19,10,12,16,13
bulgaria,Finland,21,15,7,8,7,10,3
bulgaria,France,18,5,3,6,1,4,2
bulgaria,Germany,15,16,25,22,24,24,16
bulgaria,Greece,2,2,10,3,5,3,9
bulgaria,Iceland,16,11,12,20,22,20,11
bulgaria,Israel,13,10,9,2,13,8,14
bulgaria,Italy,5,4,1,7,3,2,1
bulgaria,Lithuania,17,18,16,21,9,19,17
bulgaria,Malta,9,8,4,4,4,6,20
bulgaria,Moldova,1,1,5,1,6,1,15
bulgaria,Norway,8,13,17,18,16,15,12
bulgaria,Portugal,10,7,6,5,2,5,18
bulgaria,Russia,22,9,11,25,19,17,4
bulgaria,San Marino,25,19,18,16,15,22,23
bulgaria,Serbia,24,24,21,11,14,21,6
bulgaria,Spain,14,3,2,9,17,7,22
bulgaria,Sweden,6,14,14,15,11,11,10
bulgaria,Switzerland,7,23,13,13,10,13,8
bulgaria,The Netherlands,4,12,8,19,20,9,24
bulgaria,Ukraine,19,17,24,17,8,18,5
bulgaria,United Kingdom,11,6,23,12,21,14,25
croatia,Albania,10,13,12,14,9,12,10
croatia,Azerbaijan,19,21,16,20,18,19,9
croatia,Belgium,15,16,9,24,14,14,23
croatia,Bulgaria,16,12,15,23,15,17,17
croatia,Cyprus,5,6,17,15,13,11,15
croatia,Finland,21,17,14,9,19,15,5
croatia,France,2,7,2,8,5,5,4
croatia,Germany,26,25,23,17,22,23,19
croatia,Greece,23,20,22,21,24,24,21
croatia,Iceland,14,3,4,1,3,2,7
croatia,Israel,4,4,6,6,7,6,20
croatia,Italy,1,2,3,2,4,1,2
croatia,Lithuania,11,11,8,5,6,9,12
croatia,Malta,7,8,13,3,11,8,14
croatia,Moldova,24,26,26,22,23,25,22
croatia,Norway,20,23,21,18,26,22,13
croatia,Portugal,13,10,10,4,10,10,18
croatia,Russia,3,9,5,11,8,7,8
croatia,San Marino,17,22,24,19,21,21,16
croatia,Serbia,6,1,7,7,2,4,1
croatia,Spain,22,19,19,25,16,20,25
